Month,Total donations
2006-01,15027
2006-02,19600
2006-03,21524
2006-04,16575
2006-05,20264
2006-06,14877
2006-07,19851
2006-08,20910
2006-09,21478
2006-10,11648
2006-11,20694
2006-12,16444
2007-01,25040
2007-02,26088
2007-03,23012
2007-04,20189
2007-05,20701
2007-06,20072
2007-07,28121
2007-08,26658
2007-09,22458
2007-10,19963
2007-11,24582
2007-12,22494
2008-01,31736
2008-02,27350
2008-03,28654
2008-04,29024
2008-05,30459
2008-06,25629
2008-07,32459
2008-08,41805
2008-09,18094
2008-10,26422
2008-11,31213
2008-12,25522
2009-01,31330
2009-02,35822
2009-03,33211
2009-04,31021
2009-05,33901
2009-06,29564
2009-07,34488
2009-08,37389
2009-09,22841
2009-10,34140
2009-11,31556
2009-12,30017
2010-01,40554
2010-02,31409
2010-03,36265
2010-04,30661
2010-05,35842
2010-06,29397
2010-07,36552
2010-08,31882
2010-09,25600
2010-10,36382
2010-11,28477
2010-12,30142
2011-01,36230
2011-02,30483
2011-03,39459
2011-04,32832
2011-05,31594
2011-06,37210
2011-07,43625
2011-08,25363
2011-09,34795
2011-10,39096
2011-11,33033
2011-12,33031
2012-01,37277
2012-02,35937
2012-03,37259
2012-04,34398
2012-05,36545
2012-06,36745
2012-07,41020
2012-08,25065
2012-09,39226
2012-10,33217
2012-11,35421
2012-12,32616
2013-01,38820
2013-02,30451
2013-03,42658
2013-04,35432
2013-05,38252
2013-06,38320
2013-07,38219
2013-08,31436
2013-09,39238
2013-10,38136
2013-11,32560
2013-12,36385
2014-01,40402
2014-02,34640
2014-03,40300
2014-04,39650
2014-05,44516
2014-06,44529
2014-07,28479
2014-08,46961
2014-09,47536
2014-10,40437
2014-11,40876
2014-12,39480
2015-01,50401
2015-02,37681
2015-03,46268
2015-04,45310
2015-05,47076
2015-06,40677
2015-07,40442
2015-08,52968
2015-09,42112
2015-10,45212
2015-11,44736
2015-12,42939
2016-01,44818
2016-02,40312
2016-03,49915
2016-04,46936
2016-05,53862
2016-06,37753
2016-07,42090
2016-08,53130
2016-09,43582
2016-10,41998
2016-11,41566
2016-12,37327
2017-01,43749
2017-02,44170
2017-03,49646
2017-04,44824
2017-05,50310
2017-06,28006
2017-07,49492
2017-08,48865
2017-09,41102
2017-10,44262
2017-11,44922
2017-12,39776
2018-01,49616
2018-02,42939
2018-03,50846
2018-04,47704
2018-05,47912
2018-06,36852
2018-07,54442
2018-08,52014
2018-09,44071
2018-10,49123
2018-11,47698
2018-12,41887
2019-01,50959
2019-02,44420
2019-03,54340
2019-04,51745
2019-05,38579
2019-06,44054
2019-07,50562
2019-08,48244
2019-09,44499
2019-10,45446
2019-11,44792
2019-12,43137
2020-01,42028
2020-02,46418
2020-03,37921
2020-04,31274
2020-05,39740
2020-06,45851
2020-07,39677
2020-08,50762
2020-09,38999
2020-10,43393
2020-11,41745
2020-12,39782
2021-01,42401
2021-02,41475
2021-03,44933
2021-04,37514
2021-05,43053
2021-06,43718
2021-07,31623
2021-08,44980
2021-09,42983
2021-10,40095
2021-11,42526
2021-12,44464
2022-01,44455
2022-02,38702
2022-03,48538
2022-04,38449
2022-05,49363
2022-06,54000
2022-07,47720
2022-08,47962
2022-09,46965
2022-10,51109
2022-11,43061
2022-12,49503
2023-01,46496
2023-02,47902
2023-03,53093
2023-04,37087
2023-05,51374
2023-06,54118
2023-07,48115
2023-08,48959
2023-09,47237
2023-10,47598
2023-11,45806
2023-12,47618
2024-01,49335
2024-02,46867
2024-03,51792
2024-04,42868
2024-05,53711
2024-06,50154
2024-07,47668
2024-08,49708
2024-09,47521
2024-10,50337
2024-11,47730
2024-12,49598
2025-01,47248
2025-02,53651
2025-03,40954
2025-04,50357
2025-05,54646
2025-06,48558
2025-07,50581
2025-08,52107
2025-09,44529
2025-10,48515
2025-11,51428
2025-12,47292
2026-01,50941
2026-02,45398
2026-03,44682
2026-04,54827
2026-05,25316
