Year,Blood type,Total_donations,Month_Name
2020,all,42028,Jan
2020,all,46418,Feb
2020,all,37921,Mar
2020,all,31274,Apr
2020,all,39740,May
2020,all,45851,Jun
2020,all,39677,Jul
2020,all,50762,Aug
2020,all,38999,Sep
2020,all,43393,Oct
2020,all,41745,Nov
2020,all,39782,Dec
2021,all,42401,Jan
2021,all,41475,Feb
2021,all,44933,Mar
2021,all,37514,Apr
2021,all,43053,May
2021,all,43718,Jun
2021,all,31623,Jul
2021,all,44980,Aug
2021,all,42983,Sep
2021,all,40095,Oct
2021,all,42526,Nov
2021,all,44464,Dec
2022,all,44455,Jan
2022,all,38702,Feb
2022,all,48538,Mar
2022,all,38449,Apr
2022,all,49363,May
2022,all,54000,Jun
2022,all,47720,Jul
2022,all,47962,Aug
2022,all,46965,Sep
2022,all,51109,Oct
2022,all,43061,Nov
2022,all,49503,Dec
2023,all,46496,Jan
2023,all,47902,Feb
2023,all,53093,Mar
2023,all,37087,Apr
2023,all,51374,May
2023,all,54118,Jun
2023,all,48115,Jul
2023,all,48959,Aug
2023,all,47237,Sep
2023,all,47598,Oct
2023,all,45806,Nov
2023,all,47618,Dec
2024,all,49335,Jan
2024,all,46867,Feb
2024,all,51792,Mar
2024,all,42868,Apr
2024,all,53711,May
2024,all,50154,Jun
2024,all,47668,Jul
2024,all,49708,Aug
2024,all,47521,Sep
2024,all,50337,Oct
2024,all,47730,Nov
2024,all,49598,Dec
2025,all,47248,Jan
2025,all,53651,Feb
2025,all,40954,Mar
2025,all,50357,Apr
2025,all,54646,May
2025,all,48558,Jun
2025,all,50581,Jul
2025,all,52107,Aug
2025,all,44529,Sep
2025,all,48515,Oct
2025,all,51428,Nov
2025,all,47292,Dec
